,Width,Length,Height,Orientation,Window_Ratio,Skylight_Ratio,Area,Court_Length,Court_Width,Form_Factor,Surface_Volume_Ratio,Cooling_Load,Heating_Load,Total_Load,Image,ThreeD,Shape
26,30,30,8,90,0.4,0.1,1800,8.0,8.0,1.53333333,0.38333333,46.58059145,0.88772172,47.46831316,WIDTH50_LENGTH50_HIGHT12_ORIENTATION0_WINDOWSRATIO10%_SKYLIGHTRATIO10%_3Dview.png,WIDTH50_LENGTH50_HIGHT12_ORIENTATION0_WINDOWSRATIO10%_SKYLIGHTRATIO10%.json,Box
27,30,30,8,135,0.4,0.1,1800,8.0,8.0,1.53333333,0.38333333,46.43824115,0.96818006,47.40642121,WIDTH60_LENGTH50_HIGHT12_ORIENTATION0_WINDOWSRATIO10%_SKYLIGHTRATIO10%_3Dview.png,WIDTH60_LENGTH50_HIGHT12_ORIENTATION0_WINDOWSRATIO10%_SKYLIGHTRATIO10%.json,Box
28,30,30,8,180,0.4,0.1,1800,8.0,8.0,1.53333333,0.38333333,46.58059145,0.88772172,47.46831316,WIDTH30_LENGTH60_HIGHT12_ORIENTATION0_WINDOWSRATIO10%_SKYLIGHTRATIO10%_3Dview.png,WIDTH30_LENGTH60_HIGHT12_ORIENTATION0_WINDOWSRATIO10%_SKYLIGHTRATIO10%.json,Box
29,30,30,8,225,0.4,0.1,1800,8.0,8.0,1.53333333,0.38333333,46.43824115,0.96818006,47.40642121,WIDTH40_LENGTH60_HIGHT12_ORIENTATION0_WINDOWSRATIO10%_SKYLIGHTRATIO10%_3Dview.png,WIDTH40_LENGTH60_HIGHT12_ORIENTATION0_WINDOWSRATIO10%_SKYLIGHTRATIO10%.json,Box
30,30,30,8,270,0.4,0.1,1800,8.0,8.0,1.53333333,0.38333333,46.58059145,0.88772172,47.46831316,WIDTH50_LENGTH60_HIGHT12_ORIENTATION0_WINDOWSRATIO10%_SKYLIGHTRATIO10%_3Dview.png,WIDTH50_LENGTH60_HIGHT12_ORIENTATION0_WINDOWSRATIO10%_SKYLIGHTRATIO10%.json,Box
31,30,30,8,315,0.4,0.1,1800,8.0,8.0,1.53333333,0.38333333,46.43763125,0.96801961,47.40565087,WIDTH60_LENGTH60_HIGHT12_ORIENTATION0_WINDOWSRATIO10%_SKYLIGHTRATIO10%_3Dview.png,WIDTH60_LENGTH60_HIGHT12_ORIENTATION0_WINDOWSRATIO10%_SKYLIGHTRATIO10%.json,Box
32,30,30,8,0,0.1,0.2,1800,8.0,8.0,1.53333333,0.38333333,44.67744057,1.52225134,46.19969191,WIDTH30_LENGTH30_HIGHT16_ORIENTATION0_WINDOWSRATIO10%_SKYLIGHTRATIO10%_3Dview.png,WIDTH30_LENGTH30_HIGHT16_ORIENTATION0_WINDOWSRATIO10%_SKYLIGHTRATIO10%.json,Box
33,30,30,8,45,0.1,0.2,1800,8.0,8.0,1.53333333,0.38333333,44.54502282,1.59028446,46.13530728,WIDTH40_LENGTH30_HIGHT16_ORIENTATION0_WINDOWSRATIO10%_SKYLIGHTRATIO10%_3Dview.png,WIDTH40_LENGTH30_HIGHT16_ORIENTATION0_WINDOWSRATIO10%_SKYLIGHTRATIO10%.json,Box
34,30,30,8,90,0.1,0.2,1800,8.0,8.0,1.53333333,0.38333333,44.67744057,1.52225134,46.19969191,WIDTH50_LENGTH30_HIGHT16_ORIENTATION0_WINDOWSRATIO10%_SKYLIGHTRATIO10%_3Dview.png,WIDTH50_LENGTH30_HIGHT16_ORIENTATION0_WINDOWSRATIO10%_SKYLIGHTRATIO10%.json,Box
35,30,30,8,135,0.1,0.2,1800,8.0,8.0,1.53333333,0.38333333,44.55146115,1.58720478,46.13866593,WIDTH60_LENGTH30_HIGHT16_ORIENTATION0_WINDOWSRATIO10%_SKYLIGHTRATIO10%_3Dview.png,WIDTH60_LENGTH30_HIGHT16_ORIENTATION0_WINDOWSRATIO10%_SKYLIGHTRATIO10%.json,Box
36,30,30,8,180,0.1,0.2,1800,8.0,8.0,1.53333333,0.38333333,44.67744057,1.52225134,46.19969191,WIDTH30_LENGTH40_HIGHT16_ORIENTATION0_WINDOWSRATIO10%_SKYLIGHTRATIO10%_3Dview.png,WIDTH30_LENGTH40_HIGHT16_ORIENTATION0_WINDOWSRATIO10%_SKYLIGHTRATIO10%.json,Box
