in_WIDTH,in_LENGTH,in_HIGHT,in_ORIENTATION,in_WINDOWS_RATIO,out_AREA,out_FORM_FACTOR,out_S_V_RATIO,out_COOLING,out_HEATING,out_TOTAL
60,60,8,180,0.1,2398,1.8007,0.4502,44.0016,1.6456,45.6473
30,30,12,180,0.1,1617,1.5572,0.3893,44.3429,1.5166,45.8596
40,30,12,180,0.1,1947,1.5295,0.3824,44.3352,1.4923,45.8275
50,30,12,180,0.1,2277,1.5099,0.3775,44.3318,1.4706,45.8025
60,30,12,180,0.1,2607,1.4952,0.3738,44.3197,1.4545,45.7742
30,40,12,180,0.1,1947,1.5295,0.3824,44.3298,1.5356,45.8654
40,40,12,180,0.1,2277,1.5099,0.3775,44.3223,1.5112,45.8335
50,40,12,180,0.1,2607,1.4952,0.3738,44.3210,1.4908,45.8118
60,40,12,180,0.1,2937,1.4838,0.3710,44.3115,1.4757,45.7872
30,50,12,180,0.1,2277,1.5099,0.3775,44.3183,1.5482,45.8665
40,50,12,180,0.1,2607,1.4952,0.3738,44.3154,1.5260,45.8414
50,50,12,180,0.1,2937,1.4838,0.3710,44.3160,1.5062,45.8223
60,50,12,180,0.1,3267,1.4747,0.3687,44.3065,1.4906,45.7971
30,60,12,180,0.1,2607,1.4952,0.3738,44.2818,1.5637,45.8455
40,60,12,180,0.1,2937,1.4838,0.3710,44.2840,1.5412,45.8252
50,60,12,180,0.1,3267,1.4747,0.3687,44.2885,1.5231,45.8116
60,60,12,180,0.1,3597,1.4673,0.3668,44.2843,1.5074,45.7917
30,30,16,180,0.1,2156,1.3905,0.3476,44.4308,1.4651,45.8958
40,30,16,180,0.1,2596,1.3629,0.3407,44.4294,1.4373,45.8667
50,30,16,180,0.1,3036,1.3432,0.3358,44.4348,1.4146,45.8494
60,30,16,180,0.1,3476,1.3285,0.3321,44.4277,1.3980,45.8257
30,40,16,180,0.1,2596,1.3629,0.3407,44.4221,1.4813,45.9034
40,40,16,180,0.1,3036,1.3432,0.3358,44.4201,1.4567,45.8768
50,40,16,180,0.1,3476,1.3285,0.3321,44.4224,1.4359,45.8583
60,40,16,180,0.1,3916,1.3172,0.3293,44.4188,1.4187,45.8375
30,50,16,180,0.1,3036,1.3432,0.3358,44.4148,1.4939,45.9087
40,50,16,180,0.1,3476,1.3285,0.3321,44.4134,1.4708,45.8842
50,50,16,180,0.1,3916,1.3172,0.3293,44.4177,1.4499,45.8676
60,50,16,180,0.1,4356,1.3081,0.3270,44.4146,1.4340,45.8486
30,60,16,180,0.1,3476,1.3285,0.3321,44.3836,1.5073,45.8909
40,60,16,180,0.1,3916,1.3172,0.3293,44.3852,1.4862,45.8714
50,60,16,180,0.1,4356,1.3081,0.3270,44.3921,1.4660,45.8582
60,60,16,180,0.1,4796,1.3007,0.3252,44.3912,1.4495,45.8408
30,30,8,225,0.1,1078,1.8905,0.4726,43.9176,1.7241,45.6417
40,30,8,225,0.1,1298,1.8629,0.4657,43.9034,1.7291,45.6325
50,30,8,225,0.1,1518,1.8432,0.4608,43.8934,1.7295,45.6229
60,30,8,225,0.1,1738,1.8285,0.4571,43.8741,1.7330,45.6071
30,40,8,225,0.1,1298,1.8629,0.4657,43.8984,1.7210,45.6194
40,40,8,225,0.1,1518,1.8432,0.4608,43.8833,1.7262,45.6095
50,40,8,225,0.1,1738,1.8285,0.4571,43.8751,1.7290,45.6042
60,40,8,225,0.1,1958,1.8172,0.4543,43.8594,1.7307,45.5901
30,50,8,225,0.1,1518,1.8432,0.4608,43.8870,1.7183,45.6053
40,50,8,225,0.1,1738,1.8285,0.4571,43.8729,1.7237,45.5966
50,50,8,225,0.1,1958,1.8172,0.4543,43.8658,1.7268,45.5926
60,50,8,225,0.1,2178,1.8081,0.4520,43.8519,1.7282,45.5801
30,60,8,225,0.1,1738,1.8285,0.4571,43.8645,1.7181,45.5825
40,60,8,225,0.1,1958,1.8172,0.4543,43.8538,1.7229,45.5767
50,60,8,225,0.1,2178,1.8081,0.4520,43.8487,1.7257,45.5744
60,60,8,225,0.1,2398,1.8007,0.4502,43.8370,1.7289,45.5659
30,30,12,225,0.1,1617,1.5572,0.3893,44.1696,1.5850,45.7546
40,30,12,225,0.1,1947,1.5295,0.3824,44.1607,1.5877,45.7484
50,30,12,225,0.1,2277,1.5099,0.3775,44.1583,1.5891,45.7475
60,30,12,225,0.1,2607,1.4952,0.3738,44.1466,1.5914,45.7380
30,40,12,225,0.1,1947,1.5295,0.3824,44.1552,1.5817,45.7370
40,40,12,225,0.1,2277,1.5099,0.3775,44.1439,1.5857,45.7296
50,40,12,225,0.1,2607,1.4952,0.3738,44.1423,1.5866,45.7289
60,40,12,225,0.1,2937,1.4838,0.3710,44.1321,1.5892,45.7213
30,50,12,225,0.1,2277,1.5099,0.3775,44.1508,1.5777,45.7285
40,50,12,225,0.1,2607,1.4952,0.3738,44.1390,1.5825,45.7216
50,50,12,225,0.1,2937,1.4838,0.3710,44.1363,1.5836,45.7199
60,50,12,225,0.1,3267,1.4747,0.3687,44.1270,1.5863,45.7133
30,60,12,225,0.1,2607,1.4952,0.3738,44.1357,1.5758,45.7115
40,60,12,225,0.1,2937,1.4838,0.3710,44.1259,1.5804,45.7063
