Width,Length,Height,Orientation,Window_Ratio,Skylight_Ratio,Area,Form_Factor,Cooling_Load,Heating_Load,Shape_Box,Shape_L,Shape_O,Shape_U
30,40,8,225,0.2,0.1,39.172712085197105,1.46666667,44.78232097,1.33767586,1,0,0,0
40,30,8,270,0.2,0.1,39.172712085197105,1.46666667,44.90533077,1.29095456,1,0,0,0
30,40,8,270,0.2,0.1,39.172712085197105,1.46666667,44.91762852,1.25445259,1,0,0,0
40,30,8,315,0.2,0.1,39.172712085197105,1.46666667,44.78313162,1.33741822,1,0,0,0
30,40,8,315,0.2,0.1,39.172712085197105,1.46666667,44.78675009,1.34189869,1,0,0,0
40,30,8,0,0.3,0.1,39.172712085197105,1.46666667,45.79002899,1.04318382,1,0,0,0
30,40,8,0,0.3,0.1,39.172712085197105,1.46666667,45.75884788,1.08653892,1,0,0,0
40,30,8,45,0.3,0.1,39.172712085197105,1.46666667,45.63677549,1.13949267,1,0,0,0
30,40,8,45,0.3,0.1,39.172712085197105,1.46666667,45.63472557,1.13535814,1,0,0,0
40,30,8,90,0.3,0.1,39.172712085197105,1.46666667,45.75894843,1.085939,1,0,0,0
30,40,8,90,0.3,0.1,39.172712085197105,1.46666667,45.78965842,1.04317246,1,0,0,0
40,30,8,135,0.3,0.1,39.172712085197105,1.46666667,45.63375776,1.13607392,1,0,0,0
30,40,8,135,0.3,0.1,39.172712085197105,1.46666667,45.63885115,1.13919629,1,0,0,0
40,30,8,180,0.3,0.1,39.172712085197105,1.46666667,45.79002899,1.04318382,1,0,0,0
30,40,8,180,0.3,0.1,39.172712085197105,1.46666667,45.75884788,1.08653892,1,0,0,0
40,30,8,225,0.3,0.1,39.172712085197105,1.46666667,45.63950088,1.13892575,1,0,0,0
30,40,8,225,0.3,0.1,39.172712085197105,1.46666667,45.63477932,1.13577796,1,0,0,0
40,30,8,270,0.3,0.1,39.172712085197105,1.46666667,45.75894843,1.085939,1,0,0,0
30,40,8,270,0.3,0.1,39.172712085197105,1.46666667,45.78965842,1.04317246,1,0,0,0
40,30,8,315,0.3,0.1,39.172712085197105,1.46666667,45.63499325,1.13510705,1,0,0,0
30,40,8,315,0.3,0.1,39.172712085197105,1.46666667,45.63740117,1.13975176,1,0,0,0
40,30,8,0,0.4,0.1,39.172712085197105,1.46666667,46.44924426,0.87478978,1,0,0,0
30,40,8,0,0.4,0.1,39.172712085197105,1.46666667,46.39003539,0.92068799,1,0,0,0
40,30,8,45,0.4,0.1,39.172712085197105,1.46666667,46.27694125,0.9749963,1,0,0,0
30,40,8,45,0.4,0.1,39.172712085197105,1.46666667,46.28270565,0.9717166,1,0,0,0
40,30,8,90,0.4,0.1,39.172712085197105,1.46666667,46.39020607,0.92009517,1,0,0,0
30,40,8,90,0.4,0.1,39.172712085197105,1.46666667,46.44898986,0.87477437,1,0,0,0
40,30,8,135,0.4,0.1,39.172712085197105,1.46666667,46.28225076,0.97234564,1,0,0,0
30,40,8,135,0.4,0.1,39.172712085197105,1.46666667,46.2781268,0.97479209,1,0,0,0
40,30,8,180,0.4,0.1,39.172712085197105,1.46666667,46.44924426,0.87478978,1,0,0,0
30,40,8,180,0.4,0.1,39.172712085197105,1.46666667,46.39003539,0.92068799,1,0,0,0
40,30,8,225,0.4,0.1,39.172712085197105,1.46666667,46.27854162,0.97453949,1,0,0,0
30,40,8,225,0.4,0.1,39.172712085197105,1.46666667,46.28299819,0.97206357,1,0,0,0
40,30,8,270,0.4,0.1,39.172712085197105,1.46666667,46.39020607,0.92009517,1,0,0,0
30,40,8,270,0.4,0.1,39.172712085197105,1.46666667,46.44898986,0.87477437,1,0,0,0
40,30,8,315,0.4,0.1,39.172712085197105,1.46666667,46.28273916,0.97150324,1,0,0,0
30,40,8,315,0.4,0.1,39.172712085197105,1.46666667,46.2771933,0.97527189,1,0,0,0
40,30,8,0,0.1,0.2,39.172712085197105,1.46666667,45.28024169,1.4534739,1,0,0,0
30,40,8,0,0.1,0.2,39.172712085197105,1.46666667,45.27637816,1.48262411,1,0,0,0
40,30,8,45,0.1,0.2,39.172712085197105,1.46666667,45.14835294,1.53269687,1,0,0,0
30,40,8,45,0.1,0.2,39.172712085197105,1.46666667,45.16134429,1.5241297,1,0,0,0
40,30,8,90,0.1,0.2,39.172712085197105,1.46666667,45.27689213,1.48219962,1,0,0,0
30,40,8,90,0.1,0.2,39.172712085197105,1.46666667,45.27993946,1.45344991,1,0,0,0
40,30,8,135,0.1,0.2,39.172712085197105,1.46666667,45.15815049,1.52630195,1,0,0,0
30,40,8,135,0.1,0.2,39.172712085197105,1.46666667,45.15526948,1.53239707,1,0,0,0
40,30,8,180,0.1,0.2,39.172712085197105,1.46666667,45.28024169,1.4534739,1,0,0,0
